
=== Session started 2026-07-06T19:24:33.391265 (192.168.1.168:23) ===
[19:24:33.392] [dev] eDrum telnet console
[19:24:37.231] [eDrum] Build 0 — p=ping  i=identify  s=config  n=test note  r=reboot
[19:24:37.234]   a=toggle ADC dump  d=toggle hit debug print  m=toggle diag mode (detection+MIDI off)
[19:24:37.236]   o <input> <floor> = scope input (e.g. o 0 10)   o off = disable scope
[19:24:37.239]   w <input> <param> <value> = set param (e.g. w 0 scan 3)
[19:24:37.242]   params: thresh sens scan mask retrig type ratio chokethresh choke enable
[19:24:55.109] [w] input=0 sens=3250 OK
[19:24:55.135] [SysEx TX] F0 00 7D 00 05 01 01 06 00 F7
[19:24:58.777] [HIT] t=531553 i=0 note=38 vel=1 raw=1 truepeak=187 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=45.0 dchead=3.0 spikerej=389
[19:24:58.789] [SysEx TX] F0 00 7D 00 05 03 00 00 01 01 F7
[19:24:58.791] [SCOPE] input=0 pad_type=0 head_ch=1 rim_ch=0 head_peak=189 rim_peak=14 decision=HEAD samples=200
[19:24:58.795] T,H,R
[19:24:58.797] 0,5,1
[19:24:58.801] 1,2,2
[19:24:58.802] 2,0,2
[19:24:58.805] 3,0,2
[19:24:58.808] 4,2,5
[19:24:58.813] 5,1,5
[19:24:58.813] 6,2,2
[19:24:58.818] 7,0,2
[19:24:58.819] 8,2,2
[19:24:58.821] 9,0,2
[19:24:58.829] 10,4,3
[19:24:58.830] 11,1,0
[19:24:58.830] 12,1,2
[19:24:58.831] 13,0,2
[19:24:58.835] 14,2,2
[19:24:58.837] 15,1,2
[19:24:58.839] 16,2,2
[19:24:58.842] 17,2,5
[19:24:58.845] 18,2,1
[19:24:58.848] 19,2,5
[19:24:58.850] 20,2,5
[19:24:58.854] 21,1,2
[19:24:58.857] 22,1,2
[19:24:58.871] 23,1,2
[19:24:58.872] 24,2,5
[19:24:58.873] 25,2,4
[19:24:58.878] 26,0,3
[19:24:58.881] 27,1,2
[19:24:58.882] 28,3,2
[19:24:58.889] 29,0,5
[19:24:58.889] 30,2,5
[19:24:58.892] 31,1,5
[19:24:58.893] 32,1,2
[19:24:58.895] 33,2,5
[19:24:58.897] 34,0,5
[19:24:58.901] 35,1,3
[19:24:58.903] 36,5,0
[19:24:58.907] 37,2,5
[19:24:58.909] 38,0,5
[19:24:58.913] 39,1,1
[19:24:58.915] 40,5,2
[19:24:58.919] 41,4,0
[19:24:58.921] 42,5,0
[19:24:58.925] 43,5,2
[19:24:58.925] 44,2,2
[19:24:58.941] 45,5,8
[19:24:58.941] 46,1,6
[19:24:58.942] 47,2,5
[19:24:58.943] 48,3,2
[19:24:58.946] 49,5,0
[19:24:58.949] 50,3,2
[19:24:58.951] 51,3,0
[19:24:58.953] 52,2,0
[19:24:58.958] 53,0,3
[19:24:58.961] 54,2,5
[19:24:58.965] 55,2,5
[19:24:58.979] 56,5,2
[19:24:58.980] 57,3,1
[19:24:58.983] 58,3,0
[19:24:58.992] 59,2,6
[19:24:58.992] 60,2,5
[19:24:58.994] 61,2,3
[19:24:58.995] 62,3,2
[19:24:58.997] 63,3,1
[19:24:59.000] 64,2,3
[19:24:59.003] 65,2,2
[19:24:59.005] 66,2,2
[19:24:59.008] 67,0,2
[19:24:59.011] 68,7,2
[19:24:59.015] 69,4,5
[19:24:59.018] 70,0,1
[19:24:59.021] 71,0,0
[19:24:59.022] 72,0,2
[19:24:59.027] 73,0,4
[19:24:59.027] 74,0,8
[19:24:59.032] 75,0,8
[19:24:59.033] 76,0,7
[19:24:59.033] 77,0,4
[19:24:59.037] 78,0,0
[19:24:59.040] 79,0,11
[19:24:59.043] 80,0,14
[19:24:59.046] 81,0,6
[19:24:59.050] 82,0,1
[19:24:59.051] 83,0,5
[19:24:59.054] 84,0,10
[19:24:59.057] 85,0,8
[19:24:59.062] 86,0,9
[19:24:59.063] 87,0,4
[19:24:59.074] 88,0,6
[19:24:59.074] 89,0,5
[19:24:59.076] 90,9,2
[19:24:59.078] 91,25,0
[19:24:59.082] 92,41,2
[19:24:59.085] 93,57,2
[19:24:59.087] 94,73,2
[19:24:59.093] 95,96,0
[19:24:59.097] 96,105,0
[19:24:59.099] 97,127,0
[19:24:59.099] 98,142,0
[19:24:59.100] 99,158,0
[19:24:59.112] 100,185,4
[19:24:59.113] 101,189,0
[19:24:59.113] 102,174,0
[19:24:59.115] 103,169,0
[19:24:59.119] 104,141,1
[19:24:59.125] 105,107,3
[19:24:59.126] 106,73,2
