
=== Session started 2026-07-06T19:28:48.091126 (192.168.1.168:23) ===
[19:28:48.092] [dev] eDrum telnet console
[19:28:59.640] [SCOPE] Active: input=0 floor=15
[19:29:05.021] [RIM] t=777803 i=0 note=40 vel=6 raw=6 truepeak=316 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=2890.0 dchead=19.9 spikerej=1582
[19:29:05.037] [SysEx TX] F0 00 7D 00 05 03 00 01 06 06 F7
[19:29:05.038] [SCOPE] input=0 pad_type=0 head_ch=1 rim_ch=0 head_peak=4095 rim_peak=1505 decision=RIM samples=200
[19:29:05.039] T,H,R
[19:29:05.054] 0,0,0
[19:29:05.054] 1,0,2
[19:29:05.054] 2,4,3
[19:29:05.054] 3,0,2
[19:29:05.060] 4,1,5
[19:29:05.060] 5,2,6
[19:29:05.061] 6,0,2
[19:29:05.062] 7,1,2
[19:29:05.066] 8,0,0
[19:29:05.071] 9,1,3
[19:29:05.072] 10,0,0
[19:29:05.074] 11,1,4
[19:29:05.077] 12,0,5
[19:29:05.080] 13,0,2
[19:29:05.083] 14,0,2
[19:29:05.085] 15,2,2
[19:29:05.091] 16,4,2
[19:29:05.091] 17,5,2
[19:29:05.093] 18,4,2
[19:29:05.095] 19,0,0
[19:29:05.101] 20,1,5
[19:29:05.101] 21,3,2
[19:29:05.103] 22,4,6
[19:29:05.107] 23,4,1
[19:29:05.109] 24,5,2
[19:29:05.112] 25,4,6
[19:29:05.115] 26,5,1
[19:29:05.118] 27,4,2
[19:29:05.120] 28,0,3
[19:29:05.124] 29,0,3
[19:29:05.126] 30,0,3
[19:29:05.129] 31,2,3
[19:29:05.136] 32,0,2
[19:29:05.139] 33,0,2
[19:29:05.139] 34,0,2
[19:29:05.141] 35,0,3
[19:29:05.145] 36,4,1
[19:29:05.148] 37,4,0
[19:29:05.150] 38,4,2
[19:29:05.153] 39,0,2
[19:29:05.157] 40,1,2
[19:29:05.164] 41,2,2
[19:29:05.165] 42,2,2
[19:29:05.165] 43,0,2
[19:29:05.166] 44,2,3
[19:29:05.169] 45,0,0
[19:29:05.174] 46,2,3
[19:29:05.175] 47,2,5
[19:29:05.178] 48,2,3
[19:29:05.181] 49,2,3
[19:29:05.183] 50,2,5
[19:29:05.187] 51,3,5
[19:29:05.192] 52,2,2
[19:29:05.193] 53,1,2
[19:29:05.194] 54,6,2
[19:29:05.196] 55,2,8
[19:29:05.202] 56,5,2
[19:29:05.204] 57,5,5
[19:29:05.205] 58,5,6
[19:29:05.208] 59,3,7
[19:29:05.211] 60,2,2
[19:29:05.216] 61,1,2
[19:29:05.217] 62,0,2
[19:29:05.219] 63,1,0
[19:29:05.222] 64,4,2
[19:29:05.226] 65,3,5
[19:29:05.227] 66,3,5
[19:29:05.231] 67,3,5
[19:29:05.244] 68,1,2
[19:29:05.244] 69,1,2
[19:29:05.245] 70,1,5
[19:29:05.246] 71,0,2
[19:29:05.249] 72,2,2
[19:29:05.252] 73,5,0
[19:29:05.254] 74,5,3
[19:29:05.257] 75,2,5
[19:29:05.265] 76,3,2
[19:29:05.265] 77,3,7
[19:29:05.267] 78,2,2
[19:29:05.268] 79,0,2
[19:29:05.271] 80,2,6
[19:29:05.275] 81,4,5
[19:29:05.277] 82,2,3
[19:29:05.280] 83,2,2
[19:29:05.288] 84,2,3
[19:29:05.289] 85,2,2
[19:29:05.289] 86,2,2
[19:29:05.293] 87,2,8
[19:29:05.295] 88,5,2
[19:29:05.296] 89,3,7
[19:29:05.299] 90,3,5
[19:29:05.306] 91,2,5
[19:29:05.306] 92,4,2
[19:29:05.307] 93,5,2
[19:29:05.309] 94,5,5
[19:29:05.313] 95,2,5
[19:29:05.316] 96,2,3
[19:29:05.318] 97,0,2
[19:29:05.321] 98,2,2
[19:29:05.324] 99,39,153
[19:29:05.326] 100,180,319
[19:29:05.329] 101,354,70
[19:29:05.334] 102,319,166
[19:29:05.336] 103,355,114
[19:29:05.344] 104,409,164
[19:29:05.345] 105,430,153
[19:29:05.346] 106,409,47
[19:29:05.350] 107,473,45
[19:29:05.352] 108,473,0
[19:29:05.356] 109,221,0
[19:29:05.358] 110,0,0
[19:29:05.360] 111,0,0
[19:29:05.367] 112,0,225
[19:29:05.368] 113,0,267
[19:29:05.368] 114,0,481
[19:29:05.374] 115,0,523
[19:29:05.375] 116,0,335
[19:29:05.378] 117,0,749
[19:29:05.381] 118,0,1193
[19:29:05.384] 119,2058,235
[19:29:05.386] 120,4095,73
[19:29:05.389] 121,4095,285
[19:29:05.392] 122,4095,0
[19:29:05.397] 123,4095,0
[19:29:05.398] 124,4095,379
[19:29:05.399] 125,4095,441
[19:29:05.402] 126,4095,563
[19:29:05.408] 127,4095,433
[19:29:05.408] 128,4095,486
[19:29:05.409] 129,4095,436
[19:29:05.413] 130,4095,114
[19:29:05.415] 131,4095,262
[19:29:05.418] 132,4095,551
[19:29:05.422] 133,4095,0
[19:29:05.423] 134,4095,1
[19:29:05.426] 135,2910,0
[19:29:05.429] 136,736,0
[19:29:05.431] 137,0,585
[19:29:05.435] 138,0,363
[19:29:05.445] 139,0,0
[19:29:05.447] 140,0,0
[19:29:05.448] 141,0,116
[19:29:05.449] 142,0,217
[19:29:05.452] 143,534,253
[19:29:05.456] 144,1705,481
[19:29:05.459] 145,2972,224
[19:29:05.461] 146,3071,39
[19:29:05.472] 147,3164,43
[19:29:05.472] 148,2857,482
[19:29:05.472] 149,3131,1148
[19:29:05.472] 150,3721,1505
[19:29:05.477] 151,4095,1401
[19:29:05.478] 152,4095,1334
[19:29:05.481] 153,4095,1117
[19:29:05.483] 154,4095,971
[19:29:05.487] 155,4095,1161
[19:29:05.490] 156,4075,1160
[19:29:05.492] 157,2744,982
[19:29:05.495] 158,944,932
[19:29:05.499] 159,0,1238
[19:29:05.500] 160,0,1158
[19:29:05.503] 161,0,985
[19:29:05.506] 162,0,1120
[19:29:05.511] 163,0,966
[19:29:05.512] 164,397,498
[19:29:05.514] 165,832,429
[19:29:05.516] 166,1256,764
[19:29:05.519] 167,1638,916
[19:29:05.522] 168,2069,1129
[19:29:05.525] 169,2333,1320
[19:29:05.527] 170,2839,1425
[19:29:05.531] 171,3939,1173
[19:29:05.533] 172,4095,854
[19:29:05.536] 173,4095,742
[19:29:05.539] 174,4095,684
[19:29:05.553] 175,4095,598
[19:29:05.553] 176,4095,585
[19:29:05.553] 177,4095,431
[19:29:05.561] 178,4095,254
[19:29:05.561] 179,4095,245
[19:29:05.562] 180,4095,115
[19:29:05.565] 181,4095,0
[19:29:05.575] 182,4095,0
[19:29:05.576] 183,3474,0
[19:29:05.576] 184,2413,0
[19:29:05.576] 185,1352,0
[19:29:05.580] 186,31,76
[19:29:05.582] 187,0,235
[19:29:05.584] 188,0,303
[19:29:05.587] 189,0,337
[19:29:05.589] 190,0,360
[19:29:05.593] 191,0,538
[19:29:05.596] 192,0,655
[19:29:05.601] 193,0,622
[19:29:05.602] 194,0,674
[19:29:05.604] 195,0,792
[19:29:05.607] 196,0,980
[19:29:05.613] 197,0,980
[19:29:05.614] 198,118,733
[19:29:05.615] 199,1693,421
[19:29:05.621] [HIT] t=778402 i=0 note=38 vel=127 raw=127 truepeak=4068 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=688.0 dchead=180.2 spikerej=1731
[19:29:05.631] [SysEx TX] F0 00 7D 00 05 03 00 00 7F 7F F7
[19:29:05.634] [SCOPE] input=0 pad_type=0 head_ch=1 rim_ch=0 head_peak=4095 rim_peak=1505 decision=HEAD samples=200
[19:29:05.636] T,H,R
[19:29:05.639] 0,4,0
[19:29:05.643] 1,4,2
[19:29:05.652] 2,0,2
[19:29:05.652] 3,1,2
[19:29:05.652] 4,2,2
[19:29:05.655] 5,2,2
[19:29:05.657] 6,0,2
[19:29:05.663] 7,2,3
[19:29:05.664] 8,0,0
[19:29:05.665] 9,2,3
