
=== Session started 2026-07-06T19:48:00.476344 (192.168.1.168:23) ===
[19:48:00.482] [dev] eDrum telnet console
[19:48:08.636] [HIT] t=1921434 i=0 note=38 vel=127 raw=127 truepeak=4089 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=621.0 dchead=25.3 spikerej=2751
[19:48:08.641] [SysEx TX] F0 00 7D 00 05 03 00 00 7F 7F F7
[19:48:08.644] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=4095 rim_peak=1392 decision=HEAD samples=200
[19:48:08.646] T,H,R
[19:48:08.649] 0,2,2
[19:48:08.651] 1,2,2
[19:48:08.665] 2,3,5
[19:48:08.665] 3,5,6
[19:48:08.665] 4,4,3
[19:48:08.665] 5,2,3
[19:48:08.666] 6,2,2
[19:48:08.668] 7,2,3
[19:48:08.675] 8,2,5
[19:48:08.675] 9,5,14
[19:48:08.677] 10,2,2
[19:48:08.679] 11,2,2
[19:48:08.682] 12,2,3
[19:48:08.685] 13,0,2
[19:48:08.691] 14,2,3
[19:48:08.692] 15,3,5
[19:48:08.693] 16,2,3
[19:48:08.695] 17,17,5
[19:48:08.699] 18,3,2
[19:48:08.705] 19,6,2
[19:48:08.705] 20,2,2
[19:48:08.706] 21,5,7
[19:48:08.709] 22,4,2
[19:48:08.716] 23,2,8
[19:48:08.719] 24,5,8
[19:48:08.721] 25,8,2
[19:48:08.724] 26,2,2
[19:48:08.727] 27,2,5
[19:48:08.730] 28,5,7
[19:48:08.747] 29,2,3
[19:48:08.747] 30,3,5
[19:48:08.748] 31,3,7
[19:48:08.752] 32,5,2
[19:48:08.754] 33,6,8
[19:48:08.757] 34,0,2
[19:48:08.761] 35,2,3
[19:48:08.763] 36,5,5
[19:48:08.766] 37,6,1
[19:48:08.768] 38,2,3
[19:48:08.771] 39,5,2
[19:48:08.778] 40,5,2
[19:48:08.780] 41,5,2
[19:48:08.781] 42,2,2
[19:48:08.783] 43,0,2
[19:48:08.784] 44,2,3
[19:48:08.788] 45,1,2
[19:48:08.794] 46,2,2
[19:48:08.795] 47,2,3
[19:48:08.796] 48,2,3
[19:48:08.799] 49,2,5
[19:48:08.802] 50,3,7
[19:48:08.807] 51,5,2
[19:48:08.809] 52,2,2
[19:48:08.811] 53,5,7
[19:48:08.812] 54,5,2
[19:48:08.818] 55,2,2
[19:48:08.819] 56,2,2
[19:48:08.821] 57,0,2
[19:48:08.824] 58,2,2
[19:48:08.826] 59,2,5
[19:48:08.830] 60,1,5
[19:48:08.832] 61,0,2
[19:48:08.843] 62,2,3
[19:48:08.843] 63,2,5
[19:48:08.844] 64,2,5
[19:48:08.847] 65,3,7
[19:48:08.850] 66,4,6
[19:48:08.853] 67,2,2
[19:48:08.856] 68,1,0
[19:48:08.860] 69,0,2
[19:48:08.861] 70,2,5
[19:48:08.864] 71,0,2
[19:48:08.869] 72,5,2
[19:48:08.871] 73,1,5
[19:48:08.874] 74,2,5
[19:48:08.878] 75,0,3
[19:48:08.879] 76,0,2
[19:48:08.881] 77,2,3
[19:48:08.884] 78,0,5
[19:48:08.888] 79,2,5
[19:48:08.890] 80,0,3
[19:48:08.895] 81,0,3
[19:48:08.896] 82,0,3
[19:48:08.898] 83,0,3
[19:48:08.901] 84,0,3
[19:48:08.904] 85,4,1
[19:48:08.910] 86,1,2
[19:48:08.910] 87,2,2
[19:48:08.911] 88,4,1
[19:48:08.915] 89,1,0
[19:48:08.921] 90,1,2
[19:48:08.924] 91,0,8
[19:48:08.924] 92,0,2
[19:48:08.926] 93,0,50
[19:48:08.929] 94,16,198
[19:48:08.934] 95,54,84
[19:48:08.948] 96,84,116
[19:48:08.948] 97,116,86
[19:48:08.948] 98,128,100
[19:48:08.949] 99,175,160
[19:48:08.953] 100,199,91
[19:48:08.956] 101,238,41
[19:48:08.959] 102,180,0
[19:48:08.962] 103,271,0
[19:48:08.966] 104,0,0
[19:48:08.968] 105,0,0
[19:48:08.970] 106,0,126
[19:48:08.973] 107,0,306
[19:48:08.981] 108,0,208
[19:48:08.981] 109,0,335
[19:48:08.984] 110,0,850
[19:48:08.984] 111,0,1003
[19:48:08.986] 112,0,313
[19:48:08.991] 113,412,54
[19:48:08.992] 114,2484,445
[19:48:08.998] 115,4095,125
[19:48:08.999] 116,4095,14
[19:48:09.000] 117,4095,0
[19:48:09.003] 118,4095,0
[19:48:09.006] 119,4095,271
[19:48:09.012] 120,4095,553
[19:48:09.014] 121,4095,77
[19:48:09.014] 122,4095,0
[19:48:09.015] 123,4095,349
[19:48:09.018] 124,4095,201
[19:48:09.022] 125,4095,23
[19:48:09.025] 126,4095,0
[19:48:09.031] 127,4095,238
[19:48:09.032] 128,4095,451
[19:48:09.033] 129,4095,172
[19:48:09.035] 130,4095,0
[19:48:09.045] 131,3614,0
[19:48:09.045] 132,2354,0
[19:48:09.045] 133,889,256
[19:48:09.046] 134,0,406
[19:48:09.051] 135,0,0
[19:48:09.053] 136,0,0
[19:48:09.056] 137,0,5
[19:48:09.059] 138,0,46
[19:48:09.062] 139,0,285
[19:48:09.064] 140,0,301
[19:48:09.067] 141,173,214
[19:48:09.069] 142,609,393
