
=== Session started 2026-07-11T10:38:47.152252 (192.168.1.168:23) ===
[10:38:47.157] [dev] eDrum telnet console
[10:39:20.186] [DBG] hit output OFF (quiet)
[10:39:21.664] [DBG] hit output ON
[10:39:38.794] [SCOPE] Active: input=0 floor=15
[10:39:44.462] [HIT] t=1583437 i=0 note=38 vel=35 raw=35 truepeak=909 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=698.0 dchead=12.2 spikerej=98 rcstate=2 lcp=909 refrise=1
[10:39:44.467] [SysEx TX] F0 00 7D 00 05 03 00 00 23 23 F7
[10:39:44.473] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=1230 rim_peak=66 decision=HEAD samples=200
[10:39:45.277] T,H,R
[10:39:45.277] 0,3,5
[10:39:45.277] 1,5,2
[10:39:45.277] 2,2,2
[10:39:45.277] 3,3,7
[10:39:45.277] 4,3,2
[10:39:45.278] 5,2,2
[10:39:45.278] 6,8,2
[10:39:45.278] 7,2,3
[10:39:45.278] 8,3,5
[10:39:45.278] 9,7,5
[10:39:45.278] 10,4,6
[10:39:45.278] 11,2,7
[10:39:45.278] 12,3,5
[10:39:45.278] 13,3,2
[10:39:45.278] 14,2,2
[10:39:45.278] 15,8,2
[10:39:45.278] 16,8,2
[10:39:45.278] 17,2,3
[10:39:45.278] 18,3,7
[10:39:45.278] 19,2,2
[10:39:45.278] 20,2,2
[10:39:45.278] 21,4,7
[10:39:45.278] 22,2,4
[10:39:45.278] 23,7,8
[10:39:45.278] 24,5,10
[10:39:45.279] 25,2,2
[10:39:45.279] 26,2,10
[10:39:45.279] 27,4,7
[10:39:45.279] 28,10,7
[10:39:45.279] 29,10,7
[10:39:45.279] 30,4,7
[10:39:45.279] 31,4,7
[10:39:45.279] 32,8,7
[10:39:45.279] 33,4,9
[10:39:45.279] 34,4,7
[10:39:45.279] 35,7,4
[10:39:45.279] 36,7,4
[10:39:45.279] 37,7,8
[10:39:45.279] 38,5,10
[10:39:45.279] 39,7,4
[10:39:45.279] 40,7,4
[10:39:45.279] 41,4,10
[10:39:45.279] 42,9,10
[10:39:45.279] 43,8,7
[10:39:45.279] 44,8,7
[10:39:45.279] 45,8,9
[10:39:45.279] 46,4,5
[10:39:45.280] 47,10,3
[10:39:45.280] 48,16,6
[10:39:45.280] 49,8,4
[10:39:45.280] 50,10,4
[10:39:45.280] 51,10,16
[10:39:45.280] 52,7,6
[10:39:45.280] 53,4,16
[10:39:45.280] 54,5,7
[10:39:45.280] 55,7,9
[10:39:45.280] 56,5,6
[10:39:45.280] 57,7,4
[10:39:45.280] 58,7,6
[10:39:45.280] 59,2,4
[10:39:45.280] 60,8,4
[10:39:45.280] 61,8,10
[10:39:45.280] 62,4,7
[10:39:45.280] 63,4,7
[10:39:45.280] 64,16,7
[10:39:45.281] 65,7,9
[10:39:45.281] 66,7,6
[10:39:45.281] 67,4,7
[10:39:45.281] 68,5,7
[10:39:45.281] 69,7,7
[10:39:45.281] 70,7,9
[10:39:45.281] 71,7,7
[10:39:45.281] 72,5,9
[10:39:45.281] 73,9,8
[10:39:45.281] 74,7,10
[10:39:45.281] 75,5,7
[10:39:45.281] 76,7,9
[10:39:45.281] 77,7,2
[10:39:45.281] 78,7,8
[10:39:45.281] 79,2,8
[10:39:45.281] 80,8,4
[10:39:45.281] 81,4,7
[10:39:45.281] 82,5,7
[10:39:45.281] 83,7,8
[10:39:45.281] 84,2,4
[10:39:45.282] 85,8,0
[10:39:45.282] 86,8,2
[10:39:45.282] 87,4,3
[10:39:45.282] 88,5,7
[10:39:45.282] 89,3,10
[10:39:45.282] 90,0,2
[10:39:45.282] 91,0,5
[10:39:45.282] 92,0,5
[10:39:45.282] 93,0,5
[10:39:45.282] 94,0,0
[10:39:45.282] 95,0,0
[10:39:45.282] 96,0,0
[10:39:45.282] 97,0,0
[10:39:45.282] 98,0,0
[10:39:45.282] 99,0,2
[10:39:45.282] 100,97,36
[10:39:45.282] 101,174,0
[10:39:45.282] 102,201,0
[10:39:45.282] 103,205,0
[10:39:45.282] 104,201,0
[10:39:45.282] 105,190,9
[10:39:45.283] 106,206,0
[10:39:45.283] 107,278,20
[10:39:45.283] 108,350,0
[10:39:45.283] 109,398,0
[10:39:45.283] 110,505,0
[10:39:45.283] 111,681,0
[10:39:45.283] 112,839,10
[10:39:45.283] 113,889,0
[10:39:45.283] 114,915,3
[10:39:45.283] 115,880,0
[10:39:45.283] 116,698,16
[10:39:45.283] 117,482,14
[10:39:45.283] 118,290,0
[10:39:45.283] 119,146,0
[10:39:45.283] 120,128,0
[10:39:45.283] 121,180,15
[10:39:45.283] 122,269,23
[10:39:45.283] 123,361,0
[10:39:45.283] 124,467,7
[10:39:45.283] 125,544,0
[10:39:45.283] 126,565,0
[10:39:45.284] 127,533,8
[10:39:45.284] 128,529,1
[10:39:45.284] 129,592,9
[10:39:45.284] 130,640,0
[10:39:45.284] 131,689,38
[10:39:45.284] 132,790,30
[10:39:45.284] 133,896,26
[10:39:45.284] 134,982,31
[10:39:45.284] 135,1074,0
[10:39:45.284] 136,1164,31
