
=== Session started 2026-07-11T10:43:21.337518 (192.168.1.168:23) ===
[10:43:21.341] [dev] eDrum telnet console
[10:43:27.956] [HIT] t=1806939 i=0 note=38 vel=12 raw=12 truepeak=321 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=152.0 dchead=6.4 spikerej=108 rcstate=2 lcp=321 refrise=0
[10:43:27.966] [SysEx TX] F0 00 7D 00 05 03 00 00 0C 0C F7
[10:43:27.969] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=358 rim_peak=23 decision=HEAD samples=200
[10:43:27.981] T,H,R
[10:43:27.981] 0,2,3
[10:43:27.995] 1,0,5
[10:43:27.997] 2,6,8
[10:43:28.000] 3,3,5
[10:43:28.002] 4,2,8
[10:43:28.006] 5,2,2
[10:43:28.012] 6,5,6
[10:43:28.013] 7,2,3
[10:43:28.014] 8,5,2
[10:43:28.018] 9,2,7
[10:43:28.021] 10,2,8
[10:43:28.023] 11,7,5
[10:43:28.026] 12,3,4
[10:43:28.029] 13,4,3
[10:43:28.031] 14,7,6
[10:43:28.037] 15,2,3
[10:43:28.042] 16,5,2
[10:43:28.042] 17,4,3
[10:43:28.044] 18,6,2
[10:43:28.047] 19,3,7
[10:43:28.050] 20,3,4
[10:43:28.053] 21,8,4
[10:43:28.056] 22,7,6
[10:43:28.058] 23,7,8
[10:43:28.061] 24,4,7
[10:43:28.064] 25,2,2
[10:43:28.070] 26,3,7
[10:43:28.071] 27,6,8
[10:43:28.073] 28,5,6
[10:43:28.080] 29,7,7
[10:43:28.081] 30,2,4
[10:43:28.082] 31,7,7
[10:43:28.083] 32,8,3
[10:43:28.086] 33,7,4
[10:43:28.091] 34,7,2
[10:43:28.093] 35,4,5
[10:43:28.097] 36,8,6
[10:43:28.099] 37,7,3
[10:43:28.103] 38,4,5
[10:43:28.105] 39,7,2
[10:43:28.107] 40,4,7
[10:43:28.113] 41,9,2
[10:43:28.113] 42,5,7
[10:43:28.116] 43,7,8
[10:43:28.119] 44,10,4
[10:43:28.122] 45,7,3
[10:43:28.125] 46,6,8
[10:43:28.128] 47,10,10
[10:43:28.131] 48,8,7
[10:43:28.133] 49,16,9
[10:43:28.146] 50,7,8
[10:43:28.146] 51,6,4
[10:43:28.147] 52,10,7
[10:43:28.148] 53,4,3
[10:43:28.150] 54,10,7
[10:43:28.153] 55,7,8
[10:43:28.156] 56,7,8
[10:43:28.159] 57,8,5
[10:43:28.161] 58,10,7
[10:43:28.167] 59,7,10
[10:43:28.169] 60,7,4
[10:43:28.172] 61,7,10
[10:43:28.173] 62,2,10
[10:43:28.175] 63,8,16
[10:43:28.183] 64,4,9
[10:43:28.184] 65,7,14
[10:43:28.186] 66,4,9
[10:43:28.186] 67,4,7
[10:43:28.200] 68,6,6
[10:43:28.203] 69,4,7
[10:43:28.205] 70,3,7
[10:43:28.207] 71,7,8
[10:43:28.214] 72,3,4
[10:43:28.215] 73,4,7
[10:43:28.215] 74,7,8
[10:43:28.217] 75,4,3
[10:43:28.221] 76,6,6
[10:43:28.224] 77,7,9
[10:43:28.226] 78,7,8
[10:43:28.229] 79,10,7
[10:43:28.231] 80,3,2
[10:43:28.234] 81,0,10
[10:43:28.237] 82,0,7
[10:43:28.251] 83,0,2
[10:43:28.251] 84,0,3
[10:43:28.251] 85,0,0
[10:43:28.255] 86,0,2
[10:43:28.258] 87,0,4
[10:43:28.259] 88,0,5
[10:43:28.262] 89,0,10
[10:43:28.265] 90,0,2
[10:43:28.268] 91,0,1
[10:43:28.274] 92,0,0
[10:43:28.275] 93,0,0
[10:43:28.275] 94,0,5
[10:43:28.285] 95,0,2
[10:43:28.285] 96,0,3
[10:43:28.285] 97,16,5
[10:43:28.286] 98,18,5
[10:43:28.297] 99,21,1
[10:43:28.297] 100,34,0
[10:43:28.297] 101,77,2
[10:43:28.299] 102,114,1
[10:43:28.303] 103,125,10
[10:43:28.306] 104,137,7
[10:43:28.308] 105,118,0
[10:43:28.311] 106,89,16
[10:43:28.318] 107,50,4
[10:43:28.318] 108,24,0
[10:43:28.319] 109,20,0
[10:43:28.322] 110,10,0
[10:43:28.325] 111,19,7
[10:43:28.327] 112,22,2
[10:43:28.331] 113,28,5
[10:43:28.333] 114,31,0
[10:43:28.336] 115,33,1
[10:43:28.340] 116,36,1
[10:43:28.342] 117,50,5
[10:43:28.350] 118,57,2
[10:43:28.351] 119,89,5
[10:43:28.351] 120,102,2
[10:43:28.356] 121,89,4
[10:43:28.362] 122,97,7
[10:43:28.363] 123,96,8
[10:43:28.364] 124,126,5
[10:43:28.366] 125,190,6
[10:43:28.369] 126,265,16
[10:43:28.372] 127,326,8
[10:43:28.378] 128,352,12
[10:43:28.378] 129,358,10
[10:43:28.380] 130,329,5
[10:43:28.387] 131,281,2
[10:43:28.388] 132,242,5
[10:43:28.389] 133,217,7
[10:43:28.398] 134,205,10
[10:43:28.399] 135,207,23
[10:43:28.400] 136,206,10
[10:43:28.401] 137,203,7
[10:43:28.404] 138,184,2
[10:43:28.406] 139,175,3
[10:43:28.409] 140,182,10
[10:43:28.412] 141,166,10
[10:43:28.415] 142,153,17
[10:43:28.420] 143,158,10
[10:43:28.423] 144,175,16
[10:43:28.426] 145,208,20
[10:43:28.426] 146,221,8
[10:43:28.428] 147,217,9
[10:43:28.432] 148,174,8
[10:43:28.435] 149,118,2
[10:43:28.439] 150,77,4
[10:43:28.441] 151,57,7
[10:43:28.443] 152,63,8
[10:43:28.452] 153,80,18
[10:43:28.452] 154,128,23
[10:43:28.452] 155,158,12
[10:43:28.453] 156,187,7
[10:43:28.458] 157,176,3
[10:43:28.460] 158,158,1
[10:43:28.464] 159,125,16
[10:43:28.465] 160,102,18
[10:43:28.468] 161,97,12
