
=== Session started 2026-07-11T10:48:42.005396 (192.168.1.168:23) ===
[10:48:42.008] [dev] eDrum telnet console
[10:48:44.087] [Config]
[10:48:44.087]   [0] en=1 type=2 note=38 ch=10 z2note=40 z2ch=10 thresh=20 sens=3250 scan=3 mask=57 ratio=40 chokethresh=50 choke=1 curve=0 retrig=30 seeds=-1 builds=-1
[10:48:44.088]   [1] en=0 type=1 note=38 ch=10 z2note=40 z2ch=10 thresh=20 sens=800 scan=3 mask=80 ratio=40 chokethresh=50 choke=1 curve=4 retrig=50 seeds=-1 builds=-1
[10:48:44.112]   [2] en=0 type=1 note=42 ch=10 z2note=46 z2ch=10 thresh=20 sens=800 scan=3 mask=80 ratio=40 chokethresh=50 choke=1 curve=4 retrig=50 seeds=-1 builds=-1
[10:48:44.125]   [3] en=1 type=2 note=36 ch=10 z2note=53 z2ch=10 thresh=149 sens=152 scan=3 mask=80 ratio=40 chokethresh=50 choke=1 curve=0 retrig=0 seeds=-1 builds=-1
[10:48:44.125]   [4] en=1 type=1 note=44 ch=10 z2note=44 z2ch=10 thresh=20 sens=800 scan=3 mask=80 ratio=40 chokethresh=50 choke=1 curve=4 retrig=50 seeds=-1 builds=-1
[10:50:06.727] [HIT] t=2205716 i=0 note=38 vel=127 raw=127 truepeak=4087 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=780.0 dchead=44.9 spikerej=121 rcstate=2 lcp=3500 refrise=0
[10:50:06.741] [SysEx TX] F0 00 7D 00 05 03 00 00 7F 7F F7
[10:50:06.745] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=4095 rim_peak=798 decision=HEAD samples=200
[10:50:06.747] T,H,R
[10:50:06.750] 0,8,5
[10:50:06.755] 1,5,8
[10:50:06.755] 2,4,7
[10:50:06.758] 3,2,4
[10:50:06.761] 4,2,4
[10:50:06.764] 5,5,2
[10:50:06.767] 6,2,8
[10:50:06.769] 7,3,5
[10:50:06.772] 8,3,7
[10:50:06.774] 9,8,4
[10:50:06.777] 10,5,2
[10:50:06.786] 11,2,3
[10:50:06.786] 12,5,8
[10:50:06.786] 13,3,5
[10:50:06.791] 14,2,2
[10:50:06.792] 15,5,2
[10:50:06.795] 16,5,2
[10:50:06.803] 17,2,3
[10:50:06.803] 18,5,2
[10:50:06.803] 19,2,7
[10:50:06.807] 20,6,4
[10:50:06.809] 21,3,7
[10:50:06.815] 22,8,3
[10:50:06.816] 23,4,2
[10:50:06.817] 24,5,8
[10:50:06.824] 25,2,5
[10:50:06.824] 26,1,2
[10:50:06.825] 27,3,7
[10:50:06.840] 28,2,3
[10:50:06.843] 29,5,2
[10:50:06.843] 30,2,5
[10:50:06.844] 31,2,2
[10:50:06.849] 32,2,4
[10:50:06.850] 33,3,7
[10:50:06.856] 34,0,3
[10:50:06.858] 35,5,8
[10:50:06.859] 36,3,3
[10:50:06.861] 37,2,5
[10:50:06.864] 38,5,6
[10:50:06.867] 39,3,5
[10:50:06.869] 40,3,7
[10:50:06.872] 41,2,2
[10:50:06.875] 42,5,2
[10:50:06.878] 43,3,7
[10:50:06.881] 44,2,5
[10:50:06.883] 45,4,5
[10:50:06.886] 46,2,5
[10:50:06.903] 47,1,7
[10:50:06.903] 48,1,2
[10:50:06.903] 49,2,3
[10:50:06.909] 50,0,3
[10:50:06.911] 51,0,3
[10:50:06.917] 52,0,3
[10:50:06.918] 53,0,5
[10:50:06.919] 54,2,2
[10:50:06.927] 55,3,5
[10:50:06.928] 56,6,0
[10:50:06.928] 57,6,2
[10:50:06.930] 58,5,7
[10:50:06.939] 59,5,7
[10:50:06.946] 60,5,5
[10:50:06.948] 61,3,5
[10:50:06.951] 62,5,5
[10:50:06.954] 63,5,7
[10:50:06.960] 64,2,2
[10:50:06.960] 65,0,2
[10:50:06.963] 66,0,2
[10:50:06.965] 67,2,2
[10:50:06.968] 68,2,3
[10:50:06.970] 69,0,6
[10:50:06.973] 70,0,2
[10:50:06.976] 71,0,2
[10:50:06.979] 72,5,5
[10:50:06.981] 73,5,5
[10:50:06.984] 74,5,5
[10:50:06.986] 75,3,5
[10:50:06.996] 76,3,5
[10:50:06.996] 77,3,3
[10:50:06.996] 78,2,2
[10:50:06.997] 79,2,2
[10:50:07.001] 80,5,6
[10:50:07.004] 81,5,7
[10:50:07.006] 82,2,3
[10:50:07.009] 83,3,2
[10:50:07.014] 84,5,2
[10:50:07.016] 85,7,2
[10:50:07.019] 86,2,2
[10:50:07.021] 87,2,5
[10:50:07.022] 88,8,2
[10:50:07.029] 89,2,7
[10:50:07.029] 90,3,2
[10:50:07.030] 91,5,8
[10:50:07.032] 92,2,4
[10:50:07.040] 93,4,7
[10:50:07.040] 94,3,2
[10:50:07.044] 95,6,8
[10:50:07.047] 96,4,3
[10:50:07.049] 97,3,2
[10:50:07.052] 98,3,3
[10:50:07.056] 99,8,0
[10:50:07.073] 100,36,0
[10:50:07.073] 101,65,0
[10:50:07.073] 102,68,0
[10:50:07.073] 103,23,4
[10:50:07.077] 104,5,24
[10:50:07.079] 105,0,0
[10:50:07.084] 106,0,46
[10:50:07.087] 107,0,0
[10:50:07.088] 108,0,0
[10:50:07.090] 109,0,0
[10:50:07.095] 110,0,0
[10:50:07.098] 111,0,116
[10:50:07.099] 112,0,0
[10:50:07.102] 113,393,331
[10:50:07.105] 114,1579,602
[10:50:07.107] 115,2918,342
[10:50:07.109] 116,4095,480
[10:50:07.113] 117,4095,0
[10:50:07.116] 118,4095,0
[10:50:07.122] 119,4095,0
[10:50:07.124] 120,4095,79
[10:50:07.125] 121,4095,409
[10:50:07.131] 122,4095,384
[10:50:07.131] 123,4095,454
[10:50:07.132] 124,4095,29
[10:50:07.133] 125,4095,169
[10:50:07.139] 126,4095,217
[10:50:07.143] 127,4095,210
[10:50:07.144] 128,4095,521
[10:50:07.147] 129,4095,320
[10:50:07.150] 130,4095,623
[10:50:07.153] 131,4095,288
[10:50:07.156] 132,4095,169
[10:50:07.158] 133,4095,500
[10:50:07.164] 134,4095,333
[10:50:07.171] 135,4095,692
[10:50:07.172] 136,4095,542
[10:50:07.172] 137,4095,542
[10:50:07.175] 138,4095,604
[10:50:07.177] 139,4095,424
[10:50:07.181] 140,4095,745
[10:50:07.183] 141,4095,538
[10:50:07.188] 142,4095,621
[10:50:07.189] 143,4095,583
[10:50:07.192] 144,4095,517
[10:50:07.204] 145,4095,779
[10:50:07.205] 146,4095,704
[10:50:07.205] 147,3622,798
[10:50:07.211] 148,3358,745
[10:50:07.211] 149,3353,498
[10:50:07.216] 150,3382,566
[10:50:07.216] 151,3336,615
[10:50:07.219] 152,2730,798
[10:50:07.225] 153,2086,773
[10:50:07.226] 154,1742,499
[10:50:07.226] 155,1627,277
[10:50:07.238] 156,1625,185
[10:50:07.238] 157,1593,463
[10:50:07.238] 158,1366,580
[10:50:07.244] 159,1043,636
[10:50:07.247] 160,825,473
[10:50:07.250] 161,367,210
[10:50:07.253] 162,0,313
[10:50:07.255] 163,0,382
[10:50:07.259] 164,0,587
[10:50:07.261] 165,0,576
[10:50:07.266] 166,164,497
[10:50:07.266] 167,798,441
[10:50:07.271] 168,1645,352
[10:50:07.273] 169,2548,344
[10:50:07.274] 170,3177,409
[10:50:07.277] 171,3427,480
[10:50:07.279] 172,3185,536
[10:50:07.290] 173,2614,553
[10:50:07.290] 174,2048,473
[10:50:07.290] 175,1679,433
[10:50:07.293] 176,1546,563
[10:50:07.296] 177,1615,649
[10:50:07.303] 178,1750,660
[10:50:07.304] 179,1844,551
[10:50:07.304] 180,1880,404
[10:50:07.306] 181,1866,408
[10:50:07.309] 182,1804,407
[10:50:07.312] 183,1753,496
[10:50:07.315] 184,1725,466
[10:50:07.319] 185,1706,413
[10:50:07.320] 186,1714,341
[10:50:07.329] 187,1709,292
[10:50:07.329] 188,1721,390
[10:50:07.330] 189,1699,316
[10:50:07.336] 190,1239,397
[10:50:07.336] 191,566,377
[10:50:07.338] 192,0,344
[10:50:07.352] 193,0,374
[10:50:07.352] 194,0,303
[10:50:07.353] 195,0,399
[10:50:07.355] 196,214,306
[10:50:07.358] 197,839,282
[10:50:07.361] 198,1569,374
[10:50:07.364] 199,2309,365
[10:50:07.368] [RCEXIT] t=2206357 i=0 exit=2 lcp=1828 dur=0ms margin=30
[10:50:07.373] [HIT] t=2206363 i=0 note=38 vel=115 raw=115 truepeak=2953 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=264.0 dchead=113.5 spikerej=189 rcstate=2 lcp=2953 refrise=1
[10:50:07.383] [SysEx TX] F0 00 7D 00 05 03 00 00 73 73 F7
[10:50:07.387] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=4095 rim_peak=798 decision=HEAD samples=200
[10:50:07.390] T,H,R
[10:50:07.394] 0,36,0
[10:50:07.396] 1,65,0
[10:50:07.404] 2,68,0
[10:50:07.404] 3,23,4
[10:50:07.405] 4,5,24
[10:50:07.406] 5,0,0
[10:50:07.410] 6,0,46
[10:50:07.413] 7,0,0
[10:50:07.416] 8,0,0
[10:50:07.418] 9,0,0
[10:50:07.421] 10,0,0
[10:50:07.430] 11,0,116
[10:50:07.430] 12,0,0
[10:50:07.430] 13,393,331
[10:50:07.431] 14,1579,602
[10:50:07.439] 15,2918,342
[10:50:07.440] 16,4095,480
[10:50:07.441] 17,4095,0
[10:50:07.449] 18,4095,0
[10:50:07.450] 19,4095,0
[10:50:07.452] 20,4095,79
[10:50:07.456] 21,4095,409
[10:50:07.458] 22,4095,384
[10:50:07.460] 23,4095,454
[10:50:07.465] 24,4095,29
[10:50:07.466] 25,4095,169
[10:50:07.470] 26,4095,217
[10:50:07.470] 27,4095,210
[10:50:07.473] 28,4095,521
[10:50:07.476] 29,4095,320
[10:50:07.479] 30,4095,623
[10:50:07.482] 31,4095,288
[10:50:07.485] 32,4095,169
[10:50:07.488] 33,4095,500
[10:50:07.491] 34,4095,333
[10:50:07.494] 35,4095,692
[10:50:07.496] 36,4095,542
[10:50:07.499] 37,4095,542
[10:50:07.502] 38,4095,604
[10:50:07.506] 39,4095,424
[10:50:07.509] 40,4095,745
[10:50:07.511] 41,4095,538
[10:50:07.514] 42,4095,621
[10:50:07.517] 43,4095,583
[10:50:07.519] 44,4095,517
[10:50:07.522] 45,4095,779
[10:50:07.529] 46,4095,704
[10:50:07.529] 47,3622,798
[10:50:07.530] 48,3358,745
[10:50:07.542] 49,3353,498
[10:50:07.543] 50,3382,566
[10:50:07.544] 51,3336,615
[10:50:07.553] 52,2730,798
[10:50:07.556] 53,2086,773
[10:50:07.558] 54,1742,499
[10:50:07.561] 55,1627,277
[10:50:07.564] 56,1625,185
[10:50:07.567] 57,1593,463
[10:50:07.573] 58,1366,580
[10:50:07.574] 59,1043,636
[10:50:07.575] 60,825,473
[10:50:07.577] 61,367,210
[10:50:07.580] 62,0,313
[10:50:07.584] 63,0,382
[10:50:07.587] 64,0,587
[10:50:07.589] 65,0,576
[10:50:07.592] 66,164,497
[10:50:07.596] 67,798,441
[10:50:07.599] 68,1645,352
[10:50:07.600] 69,2548,344
[10:50:07.609] 70,3177,409
[10:50:07.613] 71,3427,480
[10:50:07.613] 72,3185,536
[10:50:07.614] 73,2614,553
[10:50:07.615] 74,2048,473
[10:50:07.620] 75,1679,433
[10:50:07.622] 76,1546,563
[10:50:07.624] 77,1615,649
[10:50:07.628] 78,1750,660
[10:50:07.636] 79,1844,551
[10:50:07.636] 80,1880,404
[10:50:07.636] 81,1866,408
[10:50:07.643] 82,1804,407
[10:50:07.644] 83,1753,496
[10:50:07.645] 84,1725,466
[10:50:07.646] 85,1706,413
[10:50:07.662] 86,1714,341
[10:50:07.666] 87,1709,292
[10:50:07.668] 88,1721,390
[10:50:07.675] 89,1699,316
[10:50:07.676] 90,1239,397
[10:50:07.677] 91,566,377
[10:50:07.679] 92,0,344
[10:50:07.683] 93,0,374
[10:50:07.685] 94,0,303
[10:50:07.688] 95,0,399
[10:50:07.692] 96,214,306
[10:50:07.694] 97,839,282
[10:50:07.697] 98,1569,374
[10:50:07.701] 99,2309,365
[10:50:07.703] 100,2824,497
[10:50:07.706] 101,3053,456
[10:50:07.709] 102,3013,383
[10:50:07.711] 103,2795,353
[10:50:07.714] 104,2476,390
[10:50:07.718] 105,2169,512
[10:50:07.720] 106,1946,528
[10:50:07.722] 107,1840,523
[10:50:07.725] 108,1852,423
[10:50:07.728] 109,1951,406
[10:50:07.731] 110,2041,437
[10:50:07.737] 111,2084,397
[10:50:07.738] 112,2054,435
[10:50:07.739] 113,2010,348
[10:50:07.746] 114,1963,342
