
=== Session started 2026-07-11T12:12:18.227274 (192.168.1.168:23) ===
[12:12:18.230] [dev] eDrum telnet console
[12:12:20.635] [Config]
[12:12:20.643]   [0] en=1 type=2 note=38 ch=10 z2note=40 z2ch=10 thresh=20 sens=3250 scan=3 mask=57 ratio=40 chokethresh=50 choke=1 curve=0 retrig=30 seeds=-1 builds=-1
[12:12:20.643]   [1] en=0 type=1 note=38 ch=10 z2note=40 z2ch=10 thresh=20 sens=800 scan=3 mask=80 ratio=40 chokethresh=50 choke=1 curve=4 retrig=50 seeds=-1 builds=-1
[12:12:20.644]   [2] en=0 type=1 note=42 ch=10 z2note=46 z2ch=10 thresh=20 sens=800 scan=3 mask=80 ratio=40 chokethresh=50 choke=1 curve=4 retrig=50 seeds=-1 builds=-1
[12:12:20.657]   [3] en=1 type=2 note=36 ch=10 z2note=53 z2ch=10 thresh=149 sens=152 scan=3 mask=80 ratio=40 chokethresh=50 choke=1 curve=0 retrig=0 seeds=-1 builds=-1
[12:12:20.661]   [4] en=1 type=1 note=44 ch=10 z2note=44 z2ch=10 thresh=20 sens=800 scan=3 mask=80 ratio=40 chokethresh=50 choke=1 curve=4 retrig=50 seeds=-1 builds=-1
[12:12:26.113] [HIT] t=7145176 i=0 note=38 vel=48 raw=48 truepeak=1244 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=640.0 dchead=17.4 spikerej=193 rcstate=2 lcp=1244 refrise=0
[12:12:26.118] [SysEx TX] F0 00 7D 00 05 03 00 00 30 30 F7
[12:12:26.121] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=1908 rim_peak=80 decision=HEAD samples=200
[12:12:26.124] T,H,R
[12:12:26.128] 0,2,8
[12:12:26.130] 1,5,5
[12:12:26.132] 2,2,8
[12:12:26.135] 3,2,3
[12:12:26.138] 4,3,5
[12:12:26.141] 5,3,5
[12:12:26.143] 6,2,0
[12:12:26.146] 7,2,3
[12:12:26.149] 8,8,8
[12:12:26.152] 9,2,3
[12:12:26.154] 10,3,5
[12:12:26.158] 11,5,2
[12:12:26.160] 12,2,8
[12:12:26.163] 13,2,2
[12:12:26.173] 14,2,5
[12:12:26.175] 15,3,7
[12:12:26.175] 16,0,2
[12:12:26.175] 17,3,5
[12:12:26.199] 18,5,3
[12:12:26.199] 19,5,2
[12:12:26.200] 20,5,8
[12:12:26.201] 21,1,2
[12:12:26.205] 22,2,2
[12:12:26.209] 23,2,5
[12:12:26.209] 24,0,4
[12:12:26.222] 25,2,5
[12:12:26.234] 26,3,7
[12:12:26.234] 27,4,1
[12:12:26.234] 28,5,2
[12:12:26.240] 29,2,2
[12:12:26.305] 30,0,3
[12:12:26.305] 31,2,5
[12:12:26.305] 32,5,3
[12:12:26.305] 33,2,3
[12:12:26.326] 34,2,5
[12:12:26.343] 35,0,5
[12:12:26.344] 36,2,5
[12:12:26.344] 37,2,1
[12:12:26.348] 38,0,2
[12:12:26.365] 39,2,2
[12:12:26.366] 40,2,2
[12:12:26.366] 41,2,3
[12:12:26.366] 42,0,5
[12:12:26.378] 43,0,5
[12:12:26.379] 44,0,7
[12:12:26.379] 45,2,7
[12:12:26.379] 46,2,2
[12:12:26.403] 47,2,2
[12:12:26.403] 48,1,2
[12:12:26.404] 49,6,2
[12:12:26.405] 50,2,6
[12:12:26.406] 51,3,5
[12:12:26.409] 52,4,7
[12:12:26.415] 53,4,6
[12:12:26.417] 54,0,2
[12:12:26.417] 55,5,2
[12:12:26.420] 56,3,2
[12:12:26.423] 57,1,2
[12:12:26.426] 58,3,7
[12:12:26.428] 59,2,5
[12:12:26.431] 60,2,3
[12:12:26.434] 61,3,5
[12:12:26.437] 62,5,7
[12:12:26.440] 63,2,2
[12:12:26.443] 64,3,4
[12:12:26.446] 65,3,5
[12:12:26.448] 66,3,5
[12:12:26.451] 67,8,2
[12:12:26.454] 68,6,8
[12:12:26.456] 69,2,3
[12:12:26.459] 70,5,5
[12:12:26.461] 71,2,3
[12:12:26.466] 72,4,3
[12:12:26.472] 73,2,3
[12:12:26.481] 74,3,5
[12:12:26.481] 75,5,2
[12:12:26.482] 76,2,2
[12:12:26.506] 77,7,2
[12:12:26.506] 78,2,2
[12:12:26.508] 79,3,5
[12:12:26.511] 80,2,0
[12:12:26.516] 81,2,3
[12:12:26.517] 82,5,6
[12:12:26.519] 83,2,4
[12:12:26.525] 84,2,3
[12:12:26.527] 85,5,0
[12:12:26.528] 86,7,2
[12:12:26.530] 87,8,1
[12:12:26.535] 88,6,9
[12:12:26.536] 89,3,20
[12:12:26.540] 90,0,0
[12:12:26.544] 91,10,1
[12:12:26.545] 92,0,20
[12:12:26.549] 93,0,0
[12:12:26.550] 94,0,0
[12:12:26.554] 95,0,0
[12:12:26.557] 96,0,0
[12:12:26.559] 97,0,2
[12:12:26.561] 98,0,0
[12:12:26.565] 99,0,1
[12:12:26.568] 100,175,3
[12:12:26.570] 101,288,0
[12:12:26.573] 102,328,0
[12:12:26.584] 103,332,0
[12:12:26.584] 104,301,0
[12:12:26.585] 105,319,0
[12:12:26.585] 106,361,10
[12:12:26.597] 107,427,18
[12:12:26.609] 108,521,0
[12:12:26.609] 109,623,0
[12:12:26.609] 110,633,0
[12:12:26.614] 111,601,0
[12:12:26.618] 112,584,0
[12:12:26.620] 113,685,0
[12:12:26.621] 114,857,0
[12:12:26.624] 115,988,0
[12:12:26.627] 116,1166,34
[12:12:26.630] 117,1251,23
[12:12:26.633] 118,1142,10
[12:12:26.637] 119,973,0
[12:12:26.638] 120,764,0
[12:12:26.641] 121,596,0
[12:12:26.643] 122,558,6
[12:12:26.647] 123,565,35
[12:12:26.655] 124,673,62
[12:12:26.655] 125,796,25
[12:12:26.655] 126,903,10
[12:12:26.660] 127,980,2
[12:12:26.663] 128,996,0
[12:12:26.665] 129,998,10
[12:12:26.668] 130,957,13
[12:12:26.670] 131,923,34
[12:12:26.673] 132,941,36
[12:12:26.676] 133,1054,72
[12:12:26.683] 134,1236,59
[12:12:26.684] 135,1441,35
[12:12:26.684] 136,1662,41
[12:12:26.686] 137,1830,15
[12:12:26.705] 138,1908,58
[12:12:26.706] 139,1877,57
[12:12:26.708] 140,1745,54
[12:12:26.720] 141,1550,61
[12:12:26.720] 142,1385,31
[12:12:26.723] 143,1255,67
[12:12:26.725] 144,1173,80
[12:12:26.728] 145,1117,47
[12:12:26.730] 146,1083,35
[12:12:26.733] 147,1084,19
[12:12:26.736] 148,1094,52
[12:12:26.738] 149,1046,44
[12:12:26.748] 150,990,53
[12:12:26.749] 151,949,48
[12:12:26.749] 152,778,10
[12:12:26.753] 153,641,14
[12:12:26.763] 154,545,33
[12:12:26.763] 155,409,27
[12:12:26.764] 156,382,29
[12:12:26.764] 157,372,9
[12:12:26.768] 158,333,24
[12:12:26.770] 159,311,31
[12:12:26.773] 160,316,47
[12:12:26.776] 161,365,24
[12:12:26.786] 162,489,4
[12:12:26.787] 163,657,17
[12:12:26.787] 164,798,7
[12:12:26.788] 165,916,67
[12:12:26.818] 166,957,70
[12:12:26.818] 167,978,38
[12:12:26.818] 168,946,12
[12:12:26.823] 169,921,0
[12:12:26.826] 170,889,38
[12:12:26.831] 171,878,47
[12:12:26.831] 172,858,45
[12:12:26.831] 173,815,50
[12:12:26.836] 174,824,14
[12:12:26.838] 175,858,33
[12:12:26.841] 176,880,23
[12:12:26.844] 177,901,29
[12:12:26.846] 178,910,26
[12:12:26.853] 179,883,14
[12:12:26.853] 180,779,26
[12:12:26.854] 181,606,20
[12:12:26.857] 182,437,38
[12:12:26.861] 183,316,2
[12:12:26.863] 184,135,1
[12:12:26.867] 185,0,18
[12:12:26.870] 186,0,9
[12:12:26.870] 187,0,18
[12:12:26.876] 188,0,0
[12:12:26.880] 189,1,16
[12:12:26.880] 190,125,12
[12:12:26.881] 191,288,26
[12:12:26.891] 192,470,31
[12:12:26.892] 193,597,14
[12:12:26.892] 194,673,23
[12:12:26.900] 195,713,0
[12:12:26.933] 196,749,23
[12:12:26.933] 197,780,33
[12:12:26.933] 198,771,26
[12:12:26.933] 199,714,37
[12:12:26.938] [RCEXIT] t=7145993 i=0 exit=2 lcp=243 dur=0ms margin=30
[12:12:26.944] [HIT] t=7146025 i=0 note=38 vel=26 raw=26 truepeak=667 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=-40.0 dchead=39.9 spikerej=193 rcstate=2 lcp=667 refrise=1
[12:12:26.954] [SysEx TX] F0 00 7D 00 05 03 00 00 1A 1A F7
[12:12:26.957] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=1908 rim_peak=80 decision=HEAD samples=200
[12:12:26.960] T,H,R
[12:12:26.963] 0,980,2
[12:12:26.966] 1,996,0
[12:12:26.969] 2,998,10
[12:12:26.972] 3,957,13
[12:12:26.974] 4,923,34
[12:12:26.977] 5,941,36
[12:12:26.980] 6,1054,72
[12:12:26.983] 7,1236,59
[12:12:26.992] 8,1441,35
[12:12:26.993] 9,1662,41
[12:12:26.993] 10,1830,15
[12:12:26.994] 11,1908,58
[12:12:27.003] 12,1877,57
[12:12:27.017] 13,1745,54
[12:12:27.018] 14,1550,61
[12:12:27.023] 15,1385,31
[12:12:27.023] 16,1255,67
[12:12:27.030] 17,1173,80
[12:12:27.030] 18,1117,47
[12:12:27.031] 19,1083,35
[12:12:27.047] 20,1084,19
[12:12:27.047] 21,1094,52
[12:12:27.048] 22,1046,44
[12:12:27.049] 23,990,53
